Binary,Function Name,Function URL
7z,File read,/gtfobins/7z/#file-read
7z,Sudo,/gtfobins/7z/#sudo
aa-exec,Shell,/gtfobins/aa-exec/#shell
aa-exec,SUID,/gtfobins/aa-exec/#suid
aa-exec,Sudo,/gtfobins/aa-exec/#sudo
ab,File upload,/gtfobins/ab/#file-upload
ab,File download,/gtfobins/ab/#file-download
ab,SUID,/gtfobins/ab/#suid
ab,Sudo,/gtfobins/ab/#sudo
agetty,SUID,/gtfobins/agetty/#suid
alpine,File read,/gtfobins/alpine/#file-read
alpine,SUID,/gtfobins/alpine/#suid
alpine,Sudo,/gtfobins/alpine/#sudo
ansible-playbook,Shell,/gtfobins/ansible-playbook/#shell
ansible-playbook,Sudo,/gtfobins/ansible-playbook/#sudo
ansible-test,Shell,/gtfobins/ansible-test/#shell
ansible-test,Sudo,/gtfobins/ansible-test/#sudo
aoss,Shell,/gtfobins/aoss/#shell
aoss,Sudo,/gtfobins/aoss/#sudo
apache2ctl,File read,/gtfobins/apache2ctl/#file-read
apache2ctl,Sudo,/gtfobins/apache2ctl/#sudo
apt-get,Shell,/gtfobins/apt-get/#shell
apt-get,Sudo,/gtfobins/apt-get/#sudo
apt,Shell,/gtfobins/apt/#shell
apt,Sudo,/gtfobins/apt/#sudo
ar,File read,/gtfobins/ar/#file-read
ar,SUID,/gtfobins/ar/#suid
ar,Sudo,/gtfobins/ar/#sudo
aria2c,Command,/gtfobins/aria2c/#command
aria2c,File download,/gtfobins/aria2c/#file-download
aria2c,Sudo,/gtfobins/aria2c/#sudo
aria2c,Limited SUID,/gtfobins/aria2c/#limited-suid
arj,File write,/gtfobins/arj/#file-write
arj,File read,/gtfobins/arj/#file-read
arj,SUID,/gtfobins/arj/#suid
arj,Sudo,/gtfobins/arj/#sudo
arp,File read,/gtfobins/arp/#file-read
arp,SUID,/gtfobins/arp/#suid
arp,Sudo,/gtfobins/arp/#sudo
as,File read,/gtfobins/as/#file-read
as,SUID,/gtfobins/as/#suid
as,Sudo,/gtfobins/as/#sudo
ascii-xfr,File read,/gtfobins/ascii-xfr/#file-read
